FID_1,STATE,COUNTY,AREA,ACRES,Area_Type,_ZONE_NUMB,_HOUSEHOLD,AVERAGE_WO,AVERAGE_PE,AVERAGE_AU,TOTAL_EMPL,LAND_AREA_,POP_DENSIT,EMP_DENSIT,URBAN_AREA,TOTAL_AUTO,TAZ_LOCATI,_PERC_EMPL,PERC_EMPL_,PERC_EMPL1,TAZ_N,2010POP,MLU2010,MLU2020,EMP2010,Count_,Sum_CarbEM,Avg_CarbEM,Sum_TRIPDI,Avg_TRIPDI,Sum_TRIPSP,Avg_TRIPSP,Sum_TRIPDU,Avg_TRIPDU,CarEMTAZ,HH2010
160,39,061,8682803.62800000000,199.33000000000,1,358,791.00,1.11,2.35,1.42,55.00,199.00,9.30,0.20,1.00,1126.00,1.00,0.06,0.94,0.00,358,1854,0.02514602296,0.00000000000,40,3,0.00618078,0.00206026,11.11000000,3.70333333,53.05737500,17.68579167,2363.89792620,787.96597540,2.10700000000,908
161,39,061,9124453.86800000000,209.46900000000,1,343,1361.00,0.77,2.17,0.91,265.00,209.00,14.10,1.20,1.00,1232.00,1.00,0.01,0.96,0.03,343,2954,0.09550521268,0.00000000000,251,2,0.00174955,0.00087478,2.05742424,1.02871212,18.84560606,9.42280303,693.45454550,346.72727275,1.95400000000,842
162,39,061,9584400.29400000000,220.02800000000,1,205,749.00,1.25,2.37,1.52,1606.00,220.00,8.00,7.30,1.00,1139.00,1.00,0.47,0.38,0.15,205,1760,0.70006521155,0.00000000000,1606,10,0.02121528,0.00212153,38.19328783,3.81932878,162.33950989,16.23395099,9447.67316980,944.76731698,1.69200000000,729
163,39,061,7627438.68000000000,175.10200000000,1,206,1170.00,1.27,2.20,1.70,647.00,175.00,14.70,3.70,1.00,1994.00,1.00,0.11,0.62,0.27,206,2574,0.25871436210,0.00000000000,648,10,0.02145067,0.00214507,36.47721219,3.64772122,161.37284365,16.13728437,6721.66134480,672.16613448,2.23000000000,961
164,39,061,6933996.58600000000,159.18300000000,1,207,502.00,1.35,2.43,1.64,1196.00,159.00,7.60,7.50,1.00,822.00,1.00,0.55,0.37,0.08,207,1210,0.73607741019,0.00000000000,1194,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.01200000000,436
165,39,061,6499736.18900000000,149.21300000000,1,204,905.00,1.25,2.42,1.51,499.00,149.00,14.70,3.30,1.00,1365.00,1.00,0.50,0.31,0.19,204,2193,0.23385035175,0.00000000000,492,3,0.00521537,0.00173846,10.19776304,3.39925435,55.79269799,18.59756600,1765.94320730,588.64773577,2.02800000000,874
166,39,061,6097429.40800000000,139.97800000000,1,198,883.00,1.30,2.22,1.62,907.00,139.00,13.90,6.40,1.00,1427.00,1.00,0.03,0.30,0.66,198,1946,0.42734814451,0.00000000000,896,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.63600000000,705
167,39,061,3290423.20700000000,75.53800000000,1,215,221.00,0.93,2.48,1.29,417.00,75.00,7.20,5.50,1.00,285.00,1.00,0.89,0.06,0.05,215,544,0.62090724873,0.00000000000,415,1,0.00153859,0.00153859,3.07315790,3.07315790,17.57473684,17.57473684,635.77777780,635.77777780,0.28100000000,121
168,39,061,8495223.85000000000,195.02400000000,1,214,775.00,0.99,2.14,1.48,307.00,195.00,8.50,1.50,1.00,1144.00,1.00,0.01,0.99,0.00,214,1658,0.18889118681,0.00000000000,293,9,0.02253217,0.00250357,42.91187152,4.76798572,165.43145944,18.38127327,6133.51722910,681.50191434,1.82900000000,788
169,39,061,4966106.64900000000,114.00600000000,1,213,533.00,1.01,2.48,1.24,111.00,114.00,11.60,0.90,1.00,659.00,1.00,0.11,0.47,0.42,213,1322,0.08792158828,0.00000000000,103,2,0.00162764,0.00081382,2.22428571,1.11214286,23.09814286,11.54907143,625.30000000,312.65000000,0.87500000000,377
170,39,061,5763580.85900000000,132.31400000000,1,211,697.00,1.10,2.38,0.98,520.00,132.00,12.50,3.90,1.00,680.00,1.00,0.05,0.94,0.01,211,1654,0.31098035472,0.00000000000,516,3,0.00656738,0.00218913,14.49431532,4.83143844,61.76328828,20.58776276,2168.02857110,722.67619037,1.20900000000,521
171,39,061,10244038.51000000000,235.17100000000,1,237,1171.00,0.86,1.67,1.21,720.00,235.00,8.30,3.00,1.00,1413.00,1.00,0.03,0.89,0.08,237,1952,0.35181536730,0.00000000000,706,3,0.00820949,0.00273650,15.87078080,5.29026027,64.72718841,21.57572947,2177.89710150,725.96570050,2.86800000000,1236
172,39,061,3857616.57200000000,88.55900000000,1,241,446.00,0.91,2.00,0.70,1897.00,88.00,10.00,21.40,1.00,314.00,1.00,0.00,0.96,0.03,241,886,0.88405949359,0.00000000000,1895,1,0.00066866,0.00066866,1.14063291,1.14063291,14.14000000,14.14000000,306.49350650,306.49350650,1.64100000000,707
173,39,061,3125391.70700000000,71.74900000000,1,240,633.00,0.40,1.57,0.55,1049.00,71.00,13.80,14.60,1.00,347.00,1.00,0.00,0.73,0.27,240,990,0.76904562026,0.00000000000,1048,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.90000000000,388
174,39,061,4671676.92000000000,107.24700000000,1,243,589.00,0.62,2.18,0.74,699.00,107.00,11.90,6.50,1.00,438.00,1.00,0.19,0.72,0.08,243,1276,0.48757379363,0.00000000000,697,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.15600000000,498
175,39,061,6229732.07000000000,143.01500000000,1,210,622.00,0.66,2.60,0.88,281.00,143.00,11.30,1.90,1.00,547.00,1.00,0.04,0.91,0.06,210,1616,0.18072186692,0.00000000000,272,2,0.00478590,0.00239295,6.55221698,3.27610849,27.88854953,13.94427476,1641.69743590,820.84871795,1.51500000000,653
176,39,061,8400092.76100000000,192.84000000000,1,242,757.00,0.63,1.89,0.42,204.00,192.00,7.40,1.00,1.00,319.00,1.00,0.02,0.86,0.12,242,1427,0.14784124210,0.00000000000,193,3,0.00420678,0.00140226,7.52643232,2.50881077,45.47286262,15.15762087,1700.52134450,566.84044817,1.60600000000,692
177,39,061,3030200.45300000000,69.56400000000,1,238,347.00,1.09,1.48,1.28,807.00,69.00,7.30,11.60,1.00,443.00,1.00,0.00,1.00,0.00,238,508,0.96776793141,0.00000000000,807,1,0.00171439,0.00171439,3.34750000,3.34750000,20.20909091,20.20909091,550.40909090,550.40909090,0.74500000000,321
178,39,061,2147567.40400000000,49.30100000000,1,239,624.00,0.83,1.46,1.07,750.00,49.00,18.40,15.20,1.00,668.00,1.00,0.29,0.60,0.11,239,907,0.65534446095,0.00000000000,749,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83800000000,361
179,39,061,9334681.70500000000,214.29500000000,1,247,1015.00,0.84,1.74,1.06,1012.00,214.00,8.20,4.70,1.00,1081.00,1.00,0.17,0.75,0.08,247,1757,0.50551437368,0.00000000000,1007,4,0.00577423,0.00144356,9.87712143,2.46928036,59.33246607,14.83311652,2815.60036680,703.90009170,1.94700000000,839
180,39,061,9110964.49500000000,209.15900000000,1,236,294.00,0.73,1.93,1.21,299.00,209.00,2.70,1.40,1.00,356.00,1.00,0.29,0.35,0.36,236,565,0.46867402042,0.00000000000,293,1,0.00264786,0.00264786,5.74846154,5.74846154,22.83538462,22.83538462,802.38461540,802.38461540,0.37600000000,162
181,39,061,6346596.53000000000,145.69800000000,1,208,776.00,1.26,2.70,1.95,1410.00,145.00,14.30,9.60,1.00,1515.00,1.00,0.00,0.89,0.11,208,2083,0.56772583720,0.00000000000,1399,1,0.00520940,0.00520940,4.94857143,4.94857143,10.19000000,10.19000000,1749.33333300,1749.33333300,0.23000000000,99
182,39,061,5677020.35800000000,130.32600000000,1,359,570.00,0.99,2.08,1.26,502.00,130.00,9.10,3.80,1.00,721.00,1.00,0.00,0.95,0.04,359,1186,0.39527926360,0.00000000000,495,8,0.01778570,0.00222321,33.50010151,4.18751269,160.99070925,20.12383866,5570.15233310,696.26904164,1.08800000000,469
183,39,061,7675997.94000000000,176.21700000000,1,342,1239.00,0.80,2.10,0.77,327.00,176.00,14.70,1.80,1.00,953.00,1.00,0.00,0.71,0.29,342,2590,0.13473606183,0.00000000000,317,3,0.00617633,0.00205878,9.67768085,3.22589362,50.45548163,16.81849388,2205.34583330,735.11527777,2.07200000000,893
184,39,061,3458118.29000000000,79.38700000000,1,209,207.00,0.83,2.64,0.71,47.00,79.00,6.80,0.50,1.00,148.00,1.00,0.43,0.17,0.40,209,540,0.08377173877,0.00000000000,40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32000000000,138
185,39,061,10114000.73300000000,232.18600000000,1,345,1364.00,0.68,2.01,0.88,347.00,232.00,11.80,1.40,1.00,1204.00,1.00,0.00,0.98,0.02,345,2740,0.13084641932,0.00000000000,325,4,0.00433267,0.00108317,6.92898990,1.73224747,59.79595960,14.94898990,1580.85634910,395.21408728,2.38300000000,1027
186,39,061,7337430.01300000000,168.44400000000,1,344,555.00,0.75,2.11,0.92,179.00,168.00,6.90,1.00,1.00,513.00,1.00,0.00,0.79,0.21,344,1162,0.15723764898,0.00000000000,168,1,0.00326061,0.00326061,6.02777778,6.02777778,19.75222222,19.75222222,1095.12500000,1095.12500000,1.86100000000,802
187,39,061,4980943.76700000000,114.34700000000,1,340,836.00,0.61,2.34,0.55,288.00,114.00,17.00,2.50,1.00,463.00,1.00,0.02,0.74,0.24,340,1944,0.15978039247,0.00000000000,286,1,0.00127369,0.00127369,1.83500000,1.83500000,15.09000000,15.09000000,361.00000000,361.00000000,1.46000000000,629
188,39,061,2652633.01800000000,60.89600000000,1,337,49.00,0.61,1.69,0.90,6442.00,60.00,1.30,105.70,1.00,44.00,5.00,0.00,0.96,0.04,337,79,0.04074280958,0.00000000000,6437,2,0.00261973,0.00130987,3.58120370,1.79060185,26.21944445,13.10972222,1002.17948710,501.08974355,0.03900000000,17
189,39,061,6657784.07400000000,152.84200000000,1,346,622.00,0.93,2.47,1.08,111.00,152.00,10.00,0.70,1.00,670.00,5.00,0.07,0.86,0.06,346,1528,0.07937558271,0.00000000000,107,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98200000000,423
190,39,061,5149125.21200000000,118.20800000000,1,341,617.00,0.61,2.11,0.87,278.00,118.00,11.00,2.30,1.00,537.00,1.00,0.50,0.49,0.01,341,1300,0.21982284865,0.00000000000,272,4,0.00678244,0.00169561,9.52473684,2.38118421,46.37054825,11.59263706,2271.20277770,567.80069442,1.56200000000,673
191,39,061,3469577.24000000000,79.65100000000,1,339,270.00,0.73,2.15,0.56,950.00,79.00,7.20,11.90,1.00,150.00,1.00,0.01,0.98,0.01,339,573,0.98807061078,0.00000000000,948,1,0.00160113,0.00160113,3.13000000,3.13000000,17.82041667,17.82041667,683.86956520,683.86956520,0.49900000000,215
192,39,061,3216940.39400000000,73.85100000000,1,338,130.00,0.53,1.85,0.59,1685.00,73.00,3.20,22.80,1.00,77.00,1.00,0.00,0.93,0.07,338,236,0.38378285412,0.00000000000,1684,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12300000000,53
193,39,061,3514362.77800000000,80.67900000000,1,336,130.00,0.63,1.77,0.90,2022.00,80.00,2.80,25.00,1.00,117.00,1.00,0.00,1.00,0.00,336,226,0.31912072263,0.00000000000,2017,3,0.00526656,0.00175552,6.85780588,2.28593529,38.44619275,12.81539758,1918.93668840,639.64556280,0.75200000000,324
194,39,061,5378419.82600000000,123.47200000000,1,347,784.00,1.12,1.79,1.23,162.00,123.00,11.30,1.30,1.00,964.00,1.00,0.04,0.46,0.49,347,1395,0.12754051194,0.00000000000,161,2,0.00478123,0.00239062,8.91708333,4.45854167,34.97416667,17.48708334,1353.97159090,676.98579545,1.09500000000,472
195,39,061,7140492.62300000000,163.92300000000,1,331,530.00,1.31,2.04,1.62,661.00,163.00,6.50,4.00,1.00,860.00,1.00,0.02,0.76,0.22,331,1065,0.53321715269,0.00000000000,656,1,0.00169172,0.00169172,3.12909091,3.12909091,20.12795455,20.12795455,465.02325580,465.02325580,1.06800000000,460
196,39,061,2918495.16300000000,66.99900000000,1,332,454.00,0.73,2.17,1.05,3631.00,67.00,14.70,54.10,1.00,479.00,1.00,0.00,0.94,0.06,332,985,0.63052098382,0.00000000000,3625,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
197,39,061,4037369.66000000000,92.68500000000,1,333,996.00,1.22,2.95,2.19,4339.00,92.00,31.70,46.80,1.00,2180.00,1.00,0.00,0.95,0.05,333,2938,0.93128627251,0.00000000000,4338,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
198,39,061,2059525.33300000000,47.28000000000,1,244,65.00,0.33,1.17,0.58,1601.00,47.00,1.60,33.80,1.00,38.00,1.00,0.00,0.98,0.02,244,76,0.14915023063,0.00000000000,1598,1,0.00268911,0.00268911,0.72250000,0.72250000,2.03500000,2.03500000,872.50000000,872.50000000,0.03000000000,13
199,39,061,6342013.45000000000,145.59300000000,1,335,1273.00,1.28,1.92,0.99,1669.00,145.00,16.70,11.40,1.00,1266.00,1.00,0.00,0.97,0.03,335,2431,0.57448526812,0.00000000000,1660,5,0.00946704,0.00189341,13.94549290,2.78909858,72.29786661,14.45957332,2773.17045440,554.63409088,2.74500000000,1183
200,39,061,213152.21300000000,4.89300000000,0,286,0.00,0.79,0.00,0.99,406.00,4.00,0.00,83.00,10.00,0.00,5.00,0.00,0.69,0.31,286,0,0.00000000000,0.00000000000,406,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
201,39,061,217749.53700000000,4.99900000000,0,288,0.00,0.79,0.00,0.99,2249.00,5.00,0.00,449.80,10.00,0.00,1.00,0.47,0.49,0.04,288,0,0.00000000000,0.00000000000,2249,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
202,39,061,222028.03900000000,5.09700000000,0,289,1.00,0.79,1.00,1.00,497.00,5.00,0.20,97.40,10.00,1.00,1.00,0.04,0.60,0.37,289,1,0.00680899765,0.00000000000,496,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
203,39,061,216575.36900000000,4.97200000000,0,285,0.00,0.79,0.00,0.99,1502.00,4.00,0.00,302.20,10.00,0.00,1.00,0.01,0.91,0.08,285,0,0.00000000000,0.00000000000,1503,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
204,39,061,434109.87000000000,9.96600000000,0,287,157.00,0.98,1.24,0.99,1377.00,9.00,19.40,138.10,10.00,155.00,1.00,0.02,0.95,0.02,287,193,0.38404640417,0.00000000000,1376,1,0.00074709,0.00074709,1.06300000,1.06300000,17.41200000,17.41200000,301.44444440,301.44444440,0.20700000000,89
205,39,061,188551.57400000000,4.32900000000,0,284,0.00,0.79,0.00,0.99,1614.00,4.00,0.00,372.70,10.00,0.00,1.00,0.03,0.92,0.06,284,0,0.00000000000,0.00000000000,1613,1,0.00564879,0.00564879,8.10250000,8.10250000,21.46750000,21.46750000,1370.00000000,1370.00000000,0.00000000000,0
206,39,061,217099.82700000000,4.98400000000,0,290,0.00,0.79,0.00,0.99,1980.00,4.00,0.00,397.50,10.00,0.00,1.00,0.03,0.91,0.06,290,0,0.00000000000,0.00000000000,1981,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
207,39,061,191793.04600000000,4.40300000000,0,283,1.00,0.79,1.00,1.00,629.00,4.00,0.20,142.90,10.00,1.00,1.00,0.08,0.89,0.04,283,1,0.00537312524,0.00000000000,629,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
208,39,061,215783.85700000000,4.95400000000,0,291,0.00,0.79,0.00,0.99,3830.00,4.00,0.00,773.70,10.00,0.00,1.00,0.16,0.82,0.02,291,0,0.00000000000,0.00000000000,3833,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
209,39,061,210772.48200000000,4.83900000000,0,282,0.00,0.79,0.00,0.99,3011.00,4.00,0.00,622.10,10.00,0.00,1.00,0.00,0.99,0.00,282,0,0.00000000000,0.00000000000,3010,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
210,39,061,218521.89200000000,5.01700000000,0,292,0.00,0.79,0.00,0.99,3739.00,5.00,0.00,744.80,10.00,0.00,1.00,0.21,0.77,0.02,292,0,0.00000000000,0.00000000000,3737,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
211,39,061,232163.99300000000,5.33000000000,0,278,0.00,0.00,0.00,0.00,2617.00,5.00,0.00,490.90,10.00,0.00,1.00,0.00,1.00,0.00,278,0,0.00000000000,0.00000000000,2616,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
212,39,061,227432.24300000000,5.22100000000,0,277,0.00,0.00,3.00,0.00,4872.00,5.00,0.10,933.30,10.00,0.00,1.00,0.11,0.88,0.01,277,1,0.00069518204,0.00000000000,4873,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
213,39,061,241598.78600000000,5.54600000000,0,276,34.00,0.25,1.18,0.03,2664.00,5.00,7.20,480.00,10.00,1.00,1.00,0.00,0.94,0.06,276,40,0.04965682166,0.00000000000,2662,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
214,39,061,238427.68000000000,5.47400000000,0,275,86.00,0.21,1.01,0.02,4944.00,5.00,15.90,903.80,10.00,2.00,1.00,0.07,0.91,0.02,275,87,0.05787234203,0.00000000000,4947,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
215,39,061,218143.77000000000,5.00800000000,0,274,0.00,0.78,0.00,0.83,857.00,5.00,0.00,171.00,10.00,0.00,1.00,0.06,0.50,0.44,274,0,0.00000000000,0.00000000000,856,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
216,39,061,216380.18600000000,4.96700000000,0,273,2.00,1.95,2.50,1.00,738.00,4.00,1.00,148.40,10.00,2.00,5.00,0.00,0.95,0.05,273,5,0.02272922390,0.00000000000,737,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
217,39,061,230493.19600000000,5.29100000000,0,272,0.00,0.40,0.00,0.59,0.00,5.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,272,0,0.00000000000,0.00000000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
218,39,061,204459.03900000000,4.69400000000,0,271,0.00,0.78,0.00,0.83,804.00,4.00,0.00,171.40,10.00,0.00,1.00,0.92,0.08,0.00,271,0,0.00000000000,0.00000000000,805,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
219,39,061,209398.05700000000,4.80700000000,0,270,108.00,1.03,1.32,0.82,57.00,4.00,29.70,11.80,10.00,89.00,1.00,0.37,0.32,0.32,270,143,0.00000000000,0.00000000000,57,1,0.00266476,0.00266476,5.59384615,5.59384615,23.77000000,23.77000000,641.38461540,641.38461540,0.00000000000,0
220,39,061,219233.99700000000,5.03300000000,0,269,29.00,0.89,1.14,0.83,996.00,5.00,6.50,198.00,10.00,24.00,1.00,0.04,0.84,0.12,269,33,0.00000000000,0.00000000000,997,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
221,39,061,214985.72900000000,4.93500000000,0,268,93.00,0.22,1.10,0.02,1350.00,4.00,20.60,273.80,10.00,2.00,1.00,0.03,0.84,0.13,268,102,0.00000000000,0.00000000000,1351,1,0.00328450,0.00328450,7.18454546,7.18454546,23.44227273,23.44227273,811.50000000,811.50000000,0.55000000000,237
222,39,061,213471.89600000000,4.90100000000,0,267,41.00,0.33,1.59,0.02,567.00,4.00,13.20,115.70,10.00,1.00,1.00,0.01,0.63,0.36,267,65,0.00000000000,0.00000000000,567,1,0.01246200,0.01246200,39.02750000,39.02750000,30.26083333,30.26083333,2710.72727300,2710.72727300,0.00000000000,0
223,39,061,216012.42600000000,4.95900000000,0,266,52.00,0.64,1.22,0.57,162.00,4.00,12.90,32.60,10.00,30.00,1.00,0.35,0.51,0.15,266,64,0.00000000000,0.00000000000,162,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
224,39,061,227015.36900000000,5.21200000000,0,265,21.00,0.55,1.05,0.62,325.00,5.00,4.20,62.30,10.00,13.00,1.00,0.00,1.00,0.00,265,22,0.00000000000,0.00000000000,325,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
225,39,061,308657.57700000000,7.08600000000,0,263,19.00,0.04,1.21,0.32,422.00,7.00,3.20,59.50,10.00,6.00,1.00,0.00,0.98,0.02,263,23,0.00000000000,0.00000000000,422,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
226,39,061,294429.86300000000,6.75900000000,0,262,39.00,0.05,1.83,0.28,532.00,6.00,10.60,78.70,10.00,11.00,1.00,0.02,0.84,0.14,262,72,0.00000000000,0.00000000000,532,1,0.00165947,0.00165947,3.35350000,3.35350000,20.72900000,20.72900000,775.60000000,775.60000000,0.55000000000,237
227,39,061,291419.72700000000,6.69000000000,0,261,132.00,0.29,1.28,0.05,896.00,6.00,25.40,133.90,10.00,6.00,1.00,0.01,0.86,0.12,261,170,0.00000000000,0.00000000000,896,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
228,39,061,291043.31200000000,6.68100000000,0,260,6.00,0.52,2.50,0.00,1440.00,6.00,2.20,215.50,10.00,0.00,1.00,0.01,0.97,0.02,260,15,0.00000000000,0.00000000000,1440,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
229,39,061,295280.97100000000,6.77900000000,0,259,42.00,0.63,1.14,0.86,885.00,6.00,7.00,130.50,10.00,36.00,1.00,0.02,0.87,0.11,259,47,0.00000000000,0.00000000000,885,1,0.00696133,0.00696133,13.82400000,13.82400000,30.47900000,30.47900000,1066.00000000,1066.00000000,0.00000000000,0
230,39,061,287373.90500000000,6.59700000000,0,258,295.00,0.64,1.16,0.86,232.00,6.00,51.80,35.10,10.00,254.00,1.00,0.00,0.49,0.51,258,342,0.00000000000,0.00000000000,232,1,0.00193761,0.00193761,5.46714286,5.46714286,26.27071429,26.27071429,559.53846150,559.53846150,1.28300000000,553
231,39,061,289304.52900000000,6.64200000000,0,257,63.00,0.77,1.40,0.86,144.00,6.00,13.20,21.60,10.00,54.00,1.00,0.17,0.78,0.06,257,88,0.00000000000,0.00000000000,143,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
232,39,061,300848.19500000000,6.90700000000,0,256,77.00,0.83,1.53,0.63,589.00,6.00,17.20,85.20,10.00,49.00,1.00,0.09,0.91,0.00,256,119,0.00000000000,0.00000000000,588,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
233,39,061,611174.04300000000,14.03100000000,0,255,131.00,0.73,1.33,0.81,588.00,14.00,12.40,41.90,10.00,107.00,1.00,0.07,0.79,0.15,255,174,0.00000000000,0.00000000000,588,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
234,39,061,305979.05800000000,7.02400000000,0,254,61.00,0.64,1.15,0.85,4459.00,7.00,9.90,635.10,10.00,52.00,1.00,0.23,0.75,0.02,254,70,0.00000000000,0.00000000000,4461,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18300000000,79
235,39,061,306317.74800000000,7.03200000000,0,253,13.00,1.08,2.03,0.45,798.00,7.00,3.80,113.50,10.00,6.00,1.00,0.00,0.99,0.01,253,27,0.00000000000,0.00000000000,798,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
236,39,061,571990.93000000000,13.13100000000,0,252,0.00,0.00,3.00,0.00,2830.00,13.00,0.00,215.50,10.00,0.00,1.00,0.00,0.99,0.01,252,0,0.00000000000,0.00000000000,2830,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
237,39,061,446951.01700000000,10.26100000000,0,281,83.00,0.88,1.12,0.99,164.00,10.00,9.00,15.90,10.00,82.00,1.00,0.00,0.99,0.01,281,92,0.00000000000,0.00000000000,163,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
238,39,061,1255738.07500000000,28.82800000000,0,280,140.00,1.21,1.55,0.77,1914.00,28.00,7.50,66.30,10.00,108.00,1.00,0.01,0.99,0.01,280,216,0.00000000000,0.00000000000,1911,3,0.00848875,0.00282958,15.92426623,5.30808874,64.68277142,21.56092381,2456.43416630,818.81138877,0.10200000000,44
239,39,061,1206874.64700000000,27.70600000000,0,279,0.00,0.00,0.00,0.00,1429.00,27.00,0.00,51.50,10.00,0.00,1.00,1.00,0.00,0.00,279,0,0.00000000000,0.00000000000,1427,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
240,39,061,205237.19900000000,4.71200000000,0,264,0.00,0.00,0.00,0.00,742.00,4.00,0.00,157.50,10.00,0.00,1.00,0.00,1.00,0.00,264,0,0.00000000000,0.00000000000,742,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000000,0
241,39,061,3109693.35400000000,71.38900000000,0,295,0.00,0.79,0.00,0.99,456.00,71.00,0.00,6.30,10.00,0.00,1.00,0.08,0.89,0.02,295,0,0.00000000000,0.00000000000,450,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20700000000,89
242,39,061,2683337.61900000000,61.60100000000,0,294,1.00,1.58,2.00,1.00,1243.00,61.00,0.00,20.10,10.00,1.00,5.00,0.02,0.94,0.04,294,0,0.00000000000,0.00000000000,1238,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10200000000,44
243,39,061,3057367.86500000000,70.18800000000,0,293,176.00,1.03,1.30,0.99,911.00,70.00,3.20,12.90,10.00,174.00,1.00,0.01,0.85,0.14,293,225,0.00000000000,0.00000000000,905,1,0.00073527,0.00073527,1.04666667,1.04666667,12.09500000,12.09500000,342.33333330,342.33333330,0.61700000000,266
